Job_Title,Job_Description,Job_Url
ING. SISTEMAS Y SOPORTE,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18401877,"Descripción
Ing. Sistemas y Soporte en computadoras APPLE

Escolaridad: Ing. Sistemas, Electrónica o Telecomunicaciones

Requisitos:
Conocimiento de servidores, redes, sistemas, Antivirus
Equipos de computo MAC-Apple
Impresoras
Instalaciones
Configuración
Pruebas y mantenimiento de sistemas operativos
Experiencia en sistema operativo MAC-APPLE
Experiencia en redes (Capas de red OSI y TPC/IP)
Experiencia de estrategias de seguridad, respaldo y redundancia
Experiencia en DVR´S, consola Kaspersky, cableado.

Sueldo: $27,000
Prestaciones Ley y Superiores.
Estabilidad Laboral
Contratación Directa.

Interesados (as) enviar CV por este medio."
Ingeniero de sistemas computacionales,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18360321,"Descripción
Descripción:

Ingeniero de Sistemas TI, pasante o titulado en Licenciatura en Informática, Ingeniería en Sistemas computacionales, Informática, o carrera afín con las siguientes características: honesto, con altos estándares de valores y ética, autoformación y totalmente responsable de sus decisiones.

Realizar soporte técnico e instalación de infraestructura para usuarios internos, así como investigación y capacitación total sobre productos basados en Windows Server, Linux, VMware así como aquellos que integran el portafolio de la empresa, brindar apoyo completo a clientes para proceso de instalación de equipos nuevos, realizar demostraciones a clientes de los productor y servicios.

Competencias del Puesto:

1.    Pensamiento analítico.
2.    Calidad del trabajo.
3.    Orientación a resultados.
4.    Investigar, diagnosticar, resolver problemas de sistemas y determinar soluciones para resolverlos.
5.    Desarrollar relación con los clientes.
6.    Capacidad de planificación y de organización.
7.    Trabajo en equipo orientado a los resultados.
8.    Preocupación por el orden y la claridad.

Actividades y Responsabilidades:

- Instalación, administración, soporte y configuración de sistemas operativos Windows, Linux (Ubuntu, Debian, Centos, Suse o Redhat).
- Instalación, configuración y arranque de Servidores, equipos de cómputo, sistemas de virtualización (vmware, hyperv) e infraestructura informática con clientes o áreas internas, vía telefónica, electrónica o presencial.
- Conocimiento básico de instalación, configuración y administración de bases de datos (SQL, Maria o Mongo)
- Mantenimiento predictivo, preventivo y correctivo a equipos de cómputo, servidores, impresoras, laptop.
- Conocimiento en la creación, instalación, configuración y administración de máquinas virtuales.
- Soporte técnico a clientes y levantamiento de casos con diversos fabricantes, documentar los casos y darles seguimiento hasta su conclusión.
- Ejecutar pruebas de concepto para demostración de funcionalidades de equipos y sistemas.
- Administrar soluciones en la nube (licenciamiento Microsoft, servidores, etc.)
- Apoyar al personal comercial para definir la necesidad técnica del cliente por producto que le presenten.
- Generar con la calidad y estándares de la empresa de la documentación relacionad a las configuraciones y funcionalidades para cada solución, incluyendo diagramas en visio, power point o excel y generar plantillas de configuración (Memoria Tecnica)
- Identificar, analizar y resolver problemas en las soluciones a los clientes para prevenir o reducir incidentes.
- Brindar soporte primario y secundario a equipos de comunicaciones y seguridad informática.
- Disponibilidad para atender casos fuera de horario laboral y/o fuera de la Ciudad de México (IMPRESCINDIBLE).
- Capacitarse constantemente y certificarse técnicamente en productos como sistemas de almacenamiento, servidores, cómputo, sistemas Windows, Linux, vmware y aplicaciones.
- Mejorar constantemente los servicios de la empresa

OBJETIVO:

Deberá implementar, configurar y administrar las soluciones que comercializamos, brindar soporte remoto o en sitio, mantenerse muy actualizado sobre los avances del sector de tecnologías de la información así como de los productos que ofrece la competencia. Responsable de apoyar técnicamente al equipo de ventas al brindar una solución y discutirlas con ellos y sus colaboradores de trabajo. Fundamentalmente deberá asegurarse que las soluciones tecnológicas propuestas al cliente sean precisas técnicamente, brindar demostración de uso y explicar en un lenguaje asequible las características y ventajas de los sistemas que se ofrecen.

Requisitos mínimos:

· Experiencia laboral comprobada como ingeniero de soporte técnico.
· Experiencia práctica con entornos (Dell, Lenovo, HPE, vmware, Microsoft, Linux)
· Buen conocimiento de los sistemas informáticos, los dispositivos móviles y otros productos tecnológicos.
· Capacidad para diagnosticar y solucionar problemas técnicos.
· Familiaridad con las aplicaciones de escritorio remoto.
· Excelentes habilidades de comunicación y resolución de problemas.
· Capacidad para proporcionar ayuda técnica paso a paso, tanto escrita como verbal.
· Preferente contar con alguna certificación adicional en Microsoft, Linux, Vmware o tecnologías similares.

ESCOLARIDAD:

Licenciatura o Ingeniería en informática, sistemas computacionales o carrera afín.

EXPERIENCIA:
3 Años o más."
System Engineer Jr for Grid Control,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18242085,"Descripción
At Siemens Smart Infrastructure (SI) we're driving the energy transition!
  Siemens recently installed a new Business Unit called Grid Software to account for the growing challenges of our customers. In the Grid Control segment, we're mainly working on equipping control centers with a software called Spectrum Power™, which actively help grid operators manage, orchestrate, and optimize their transmission and distribution systems. Over 1,300 Spectrum Power™ systems in operation keep the lights on for hundreds of millions of people around the globe.
  We are looking for a passionate candidate to join our team in Grid Control!
  Main Duties:
  • Working on customer projects mainly in the Grid Control facilities in Mexico City and possibly around the country.
• Responsible for engineering a SCADA/EMS subsystem of Spectrum Power™ in customer projects incl. requirement discussions with engineers from the customer side, implementation, testing, bug fixing, and project specific customizations.
• Preventive and corrective systems maintenance, hardware warranties and support, documentation elaboration, trainings and presentations to customers.
Language skills
• English – Advanced level
  Experiences and Education
• Engineering education preferably in computer science, software engineering, power engineering, electrical engineering, or automation engineering
• Interest or/and basic experience in one or more of the following topics:
o Python, C++, JAVA, Perl programming
o Operating systems administration (e.g. Linux and Windows)
o Databases (e.g. Oracle, SQL)
o Data Networks
o Cybersecurity
o Software debugging 
o Communication protocols
o Hardware
o Microsoft office
Personal qualifications
  • Team player with good communication skills incl. intercultural communication
• Analytical mind: Deciphering complex problems both in communication with customers on a technical level and in the engineering part of projects
• Customer service oriented
• Business Process oriented
• Operational ""hands-on"" attitude
• Independent, proactive, and self-structured work style
• Willingness to take challenges to grow with Siemens Grid Control Software
• Growth mindset, excellent attitude and teamwork
• Availability to travel
  Equal Employment Opportunity Statement
Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law."
Ingeniero de Sistemas,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18397456,"Descripción
Responsable del soporte a usuarios de la planta aplicando las políticas, procedimientos y estándares locales del Corporativo de la Compañía.

Tareas y responsabilidades:
Realizar los mantenimientos preventivos correspondientes 
Soporte a usuarios
Soporte y consultoría a los siguientes grupos: GDU Comms, Netadmin, SAP.


Conocimientos específicos:
Inglés (Conversación fluida-Deseable)
Software MS Windows 7/8/10,MS Windows Server 2012/2016, Active Directory, MS Office Plus, MS SQL Server, SAP ERP, CONTPAQi Contabilidad y Nominas.  
Conocimientos básicos de redes LAN/MAN/WAN/WLAN y experiencia en administración en entornos Windows.
Buen análisis y habilidades para resolución de problemas.

Te informamos que de acuerdo a nuestros lineamientos internos y en búsqueda de la igualdad laboral y no discriminación, no realizamos exámenes médicos que puedan influir en la selección de la vacante (Embarazo, VIH)."
DESARROLLADOR COE,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18408976,"Descripción
Objetivo:
Generar mejora y configuración de procesos, a través de herramientas RPA.

Requisitos:
•Escolaridad: Ing. Sistemas, Lic. En Informática o carrera afín.
•Experiencia mínima 1 año en desarrollo de software o puesto similar
•Inglés – Intermedio / Excel - Intermedio
•Conocimientos solidos de lenguajes de programación C# o VBA
•Deseable: UiPath Studio, Metodología Scrum, Python, aplicación de las mejores prácticas en desarrollo de software
•Otros: Scripts VBA, Macros

Funciones:
•Participar en el levantamiento de procesos con el equipo funcional y proponer automatizaciones.
•Configurar y realizar las pruebas a los bots en calidad y productivo.
•Brindar soporte en las pruebas de usuario, incidencias y mantenimiento de los procesos de automatización.
•Completar la documentación requerida para cada proyecto.

Habilidades:
•Comunicación efectiva
•Orientación a resultados
•Lógica y resolución de problemas
•Colaboración
•Enfoque al cliente y al negocio"
ANALISTA DE TI/SOPORTE TECNICO,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18394726,"Descripción
TRAXIÓN!

Pertenece a una de las empresas más reconocidas a nivel nacional en distribución y logística.
Por expansión

Solicita
Analista de Soporte Técnico/Tecnologías de la información

¿Qué buscamos?
Escolaridad: Ing. en sistemas computacionales a fin.
Disponibilidad para rol de turno.
Experiencia mínima comprobable de 2 años en Centros de Distribución:
Soporte a usuarios directos, complejos y locales.
Programación de sistema para optimizar la operación.
Inventario de equipo de cómputo etc.
Mantenimiento preventivo y correctivo.
Configuración de equipo de radiofrecuencia.
Soporte en WMS/ TMS o similar.
Manejo de SAP
Experiencia en manejo de interfaces JSON
Dominio en manejo de SQL y manejo de BD´s.
Disponibilidad de Rol de turnos.
Conocimientos en Redes e infraestructura.
¿Qué ofrecemos?
Sueldo competitivo
Prestaciones de Ley.
Fondo de ahorro.
Vales de despensa.
Contratación directa.
Plan de vida y carrera.
Seguro de vida.
Zona de Trabajo: Huehuetoca, Ex bodegas de Liverpool
Interesados postularse por este medio."
Becario en Soporte Técnico,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18386467,"Descripción
¿Quiénes Somos?

GETECSA es una empresa joven con la visión clara de lograr solidez y reconocimiento a nivel Latinoamérica como una de las mejores compañías en servicios de tecnologías de la información y comunicaciones.
En Getecsa tenemos como objetivo principal ofrecer servicios con un alto sentido de calidad de tal manera que nuestros socios comerciales puedan alcanzar sus objetivos de forma ágil y con calidad a fin de que estén altamente satisfechos con nuestro apoyo.

Candidatura:
Actualmente estamos en búsqueda de un Becario en Soporte Técnico.

Requisitos:

Ing. en Sistemas Computacionales o a fin.
Experiencia mínima en instalación, soporte y reparación de bienes informáticos.
Disponibilidad de Tiempo Completo
Presencial.

?Habilidades Técnicas

Mantenimiento correctivo y preventivo de equipos de cómputo.
Respaldos de información.
Seguimiento de las solicitudes de soporte técnico.
Manejo de paquetería Office.

Habilidades suaves y competencias:

Responsable
Comprometido
Puntual
Amable

Ofrecemos:

Apoyo económico.
Oportunidad de crecimiento.
Amabilidad y empatía.

 ¡Únete a GETECSA!"
Experto compras e inventarios TI,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18406063,"Descripción
Somos la empresa mexicana número uno del retail en nuestro país. Nuestra historia se remonta a 1905, año desde el cual hemos desarrollado una historia de éxito, consolidando un modelo de negocio multiformato. Nuestro prestigio es fruto del talento y compromiso de miles de personas que han construido nuestra historia y nos han posicionado como el 4° empleador más importante de México, Top Companies, Empresa +Incluyente y Empresa Sustentable que contribuye con los Objetivos de Desarrollo Sostenible de la ONU. Nos reinventamos todos los días para ofrecer la mejor experiencia de compra. Nuestro principal motor es el equipo de más de 86 mil personas que ponen todo su talento para servir a más de 10 millones de clientas y clientes que nos visitan cada semana en nuestras más de 800 tiendas y clubes en todo México. Nuestro propósito es construir un lugar preferido para trabajar en el que las personas se sientan felices, auto realizadas y orgullosas de vivir nuestros valores. Si sueñas con transformar el mundo del retail, únete a nuestro equipo: ¡te estamos esperando! 


Requisitos de la posición:

Escolaridad: Ing. sistemas, Lic. Ciencias computacionales ,o Lic, informatica
Experiencia 1 a 2 años
Deseable experiencia en empresas retail

Conocimientos indispensables: Experiencia en desarrollo ABAP /desarrollo MM o configuración MM

Principales funciones y responsabilidades:

Definir y dar seguimiento a los planes de trabajo de cada proyecto planteado con el área de negocio.
Soporte N3 y participación en proyectos de transformación digital.
Elaboración de especificaciones funcionales, escenarios de pruebas unitarias integrales.

Ofrecemos:


*NUEVO LEÓN*
Sueldo de $23,000 - $30,000 brutos

PRESTACIONES SUPERIORES
SGMM para conyugue e hijos
Vales despensa
Bono anual por resultado
Prima vacacional
Descuento con aseguradora en auto
Seguro de vida
Menbrecia gratuita en city club
Descuentos en marca propia
Descuentos en área de alimentos
Convenio con empresas
12 dias de vacaciones
Crecimiento laboral

100% presencial de Lunes a viernes

¡El mejor talento solo está en Soriana! ""En Organización Soriana actuamos bajo un principio de igualdad de oportunidades por lo que no hay criterios de exclusión por origen étnico o nacionalidad, género, edad, orientación sexual, discapacidad, condición social, religión, preferencias sexuales o estado civil. Basado en el Artículo 2 de la “Ley Federal de Trabajo”. Así mismo está prohibido solicitar certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo"""
Arquitecto/a para Soluciones de Infraestructura Workplace Jr,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18397157,"Descripción
Arquitecto/a para Soluciones de Infraestructura Workplace Jr. (Ciudad de México, Miguel Hidalgo)

En BBVA llevamos más de 80 años trabajando para nuestros clientes. Nuestro propósito es poner al alcance de todos las oportunidades de esta nueva era. Este propósito refleja nuestro papel facilitador para ofrecer a nuestros clientes las mejores soluciones bancarias, ayudarles a tomar las mejores decisiones financieras e impactar positivamente en su vida.

En Arquitectura Infraestructura diseñamos las distintas tecnologías que dan servicio al banco. En arquitectura workplace buscamos proveer de soluciones eficientes para apoyar la productividad de nuestros clientes (emplados bbva). Somo un área transversal que interactúa con la mayoría de las áreas en BBVA MX

Funciones Principales

-Atención de tickets de soporte infraestructura.
-Seguimiento a hallazgos de auditoria y seguridad.
-Mantenimiento a la infraestructura
-Atención de incidencias de Infraestructura.

Responsabilidades

-Soportar las distintas infraestructuras de Workplace
-Cerrar todas las dependencias que lleguen al área de arquitectura Workplace
-Apoyar en los distintos proyectos de la infraestructura Workplace

Retos del puesto

-Aprender sobre nuevas tecnologías
-Adaptarse a un mindset de Arquitectura.
-Comprender la Arquitectura de BBVA México
-Regirse bajo la misión y visión del banco.

Si te interesa formar parte de un equipo cuya principal responsabilidad reside en desarrollar y operar soluciones tecnológicas y procesos seguros para mejorar la experiencia de nuestros clientes, ofrecer mejores productos y servicios y garantizar la continuidad operativa de nuestro banco, ¡esta oportunidad es para ti!

La vacante tiene un esquema laboral de asistencia presencial, con sede en el Corporativo Parques Polanco, Ciudad de México.

Buscamos a personas que cumplan los siguientes requisitos:

-Experiencia en implementación y soporte de proyectos de Arquitectura
-Conocimientos en plataformas de virtualización como Citrix, Horizon vMWARE, Vcenter, AWS desktop.
-Conocimientos en Directorio Activo.
-Conocimientos en SO Windows, System center configuration manager, SO MacOs.

?Escolaridad

Ingeniero en Sistemas Computacionales / Software / Informática o afín Licenciado en computación /Software / etc.

Experiencia

-Preferentemente 3 años de experiencia.

Competencias

- Toma de decisiones basada en datos.
- Capacidad de análisis para plantear soluciones.
- Trabajo en equipo.
- Proactividad.
- Adaptación al cambio.
- Trabajo bajo presión.
- Aprendizaje continuo.

Si cumples con los requisitos, no pierdas la oportunidad de postularte. Ten a la mano tu CV actualizado.

Nuestros colaboradores son el motor de BBVA y nos tomamos muy en serio su bienestar. Por ello les otorgamos prestaciones que mejoren no solo su vida, sino la de sus familias. Al integrarte a nuestro equipo podrías acceder a muchos beneficios, te compartimos algunos:

Prestaciones bancarias superiores a las de la ley.
Seguro de vida.
Vacaciones superiores a las de la ley.
Plan de retiro.
Préstamos exclusivos.
Promociones exclusivas.
Membresía a deportivos.
Oportunidad de crecimiento dentro del Grupo.
Participación en los juegos bancarios."
DESARROLLADOR SR ABAP,https://www.occ.com.mx/empleos/de-support-systems-engineer/en-Mexico/?page=1&jobid=18405976,"Descripción
Somos la empresa mexicana número uno del retail en nuestro país. Nuestra historia se remonta a 1905, año desde el cual hemos desarrollado una historia de éxito, consolidando un modelo de negocio multiformato. Nuestro prestigio es fruto del talento y compromiso de miles de personas que han construido nuestra historia y nos han posicionado como el 4° empleador más importante de México, Top Companies, Empresa +Incluyente y Empresa Sustentable que contribuye con los Objetivos de Desarrollo Sostenible de la ONU. Nos reinventamos todos los días para ofrecer la mejor experiencia de compra. Nuestro principal motor es el equipo de más de 86 mil personas que ponen todo su talento para servir a más de 10 millones de clientas y clientes que nos visitan cada semana en nuestras más de 800 tiendas y clubes en todo México. Nuestro propósito es construir un lugar preferido para trabajar en el que las personas se sientan felices, auto realizadas y orgullosas de vivir nuestros valores. Si sueñas con transformar el mundo del retail, únete a nuestro equipo: ¡te estamos esperando! 


Requisitos de la posición:

Escolaridad: Ing. sistemas, Lic. Ciencias computacionales o a fin.
Experiencia 2 años
Deseable experiencia en empresas retail

Conocimientos indispensables: Experiencia en desarrollo ABAP / Arquitecto de sofware/ SAP PO

Principales funciones y responsabilidades:

Analisis de desarrollo con a finalidad de encontrar soluciones a oportunidade en procesos actuales.
Analisis y desarrollo de soluciones
Definición de arquitectura de sofware
Brindar soporte especializado de las incidencias reportadas a nivel 3
Evaluar técnicamente propductos,soluciones y servicios de proveedores y socios tecnologicos.


Ofrecemos:

APOYO A MOVILIDAD
(Si eres foraneo)
Vuelo para ti y para tu familia directa
15 dias de hospedaje
Apoyo de mudanza
Se brinda %15 del sueldo por un año al presentar el contrato de arrendamiento

Sueldo de $60,000 brutos?
PRESTACIONES SUPERIORES
SGMM para conyugue e hijos
Vales despensa
Bono anual por resultado
Prima vacacional
Descuento con aseguradora en auto
Seguro de vida
Menbrecia gratuita en city club
Descuentos en marca propia
Descuentos en área de alimentos
Convenio con empresas
12 dias de vacaciones
Crecimiento laboral

100% presencial de Lunes a viernes

¡El mejor talento solo está en Soriana! ""En Organización Soriana actuamos bajo un principio de igualdad de oportunidades por lo que no hay criterios de exclusión por origen étnico o nacionalidad, género, edad, orientación sexual, discapacidad, condición social, religión, preferencias sexuales o estado civil. Basado en el Artículo 2 de la “Ley Federal de Trabajo”. Así mismo está prohibido solicitar certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo"""
