Job_Title,Job_Description,Job_Url
ux ui designer,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18193390,"Descripción
Company Description
Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe.
Welcome to Bosch!

 Job Description
Design and plan user research, synthesize research findings, and make research findings relevant and impactful for design
Develop leading-edge design concepts for a wide spectrum of consumer, industrial, and automotive domains
Mentor junior UX designers and researchers in Mexico
Understand product specifications and user psychology
Develop low and mid fidelity wireframes / prototypes based on customer needs
Conduct concept and usability testing and gather feedback
Conduct heuristic analyses
Communicate effectively to developers and project stakeholders
Work harmoniously with our team of UX Researchers, UX Designers and Service Designers
Analyze customer feedback and product analytics to determine design improvements
Create sitemaps and storyboards
Conduct competitive analyses
Offer UX/design coaching and training in Spanish
Be an ambassador for UX and design thinking within the organization
Travel 10% to 25% of the time domestically and/or internationally
Qualifications
Required
Design portfolio
B2 Level English proficiency
3+ years work experience in user design and/or research, e.g. practice user-centered design process, plan and apply user research methodologies like ethnographic interviewing and testing of concepts, develop customer journey maps, service blueprints, design concepts, interaction guidelines based on relevant user insights, and usability evaluation
Bachelor's Degree in a design discipline in combination with user-centered methods, sociology, anthropology, psychology
Strong project management skills
Proficiency in prototyping software such as Figma, Sketch and XD
UI Design skills
Proficiency in Adobe Photoshop and Adobe Illustrator
 Preferred
Proficiency in interaction design and information architecture
WCAG certification or equivalent expertise
Inclusive Design knowledge
Excellent business knowledge paired with outstanding analytical and conceptual skills
Work under time constraints on several tasks and projects simultaneously, as well as a marked ability to work in cross-functional teams
Experience designing in an agile or engineering focused environment
 Nice to have
Experience designing educational material
HTML/CSS/Javascript basics
Visual Design skills (including motion graphics / multimedia)
Dungeons & Dragons 5e proficiency
Experience designing for AR, VR, MR
Experience designing for AI
Work experience in a successful product-oriented design agency and/or experience working with an industrial client base or comparable experience in a UX team of an established industrial company
Additional Information
Bosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 13 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.

¿Quieres que las nuevas tecnologías sean moldeadas por tus ideas? Ya sea en las áreas de soluciones de movilidad, bienes de consumo, tecnología o energía y tecnología de la construcción. En Bosch, tendrás la oportunidad de mejorar la calidad de vida en todo el mundo. Bienvenido a Bosch.
 Vacancy applies to the referral program."
UNREAL ENGINE ANALYST,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18288868,"Descripción
About Wipro:
Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients' most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.
A PROUD HISTORY OF OVER 75 YEARS
FY22 REVENUE 10.4 BN USD
WE'RE PRESENT IN 66 COUNTRIES
OVER 1,400 ACTIVE GLOBAL CLIENTS

Role:
UNREAL ENGINE ANALYST
Great opportunity to work in a Global Top Company- Automotive Sector
3 yoe in similar role
Intermediate English
Bachelor's degree in engineering or equivalent real-world experience
Location: Hybrid in Mexico City
Activities:
Work on proof of concepts and implementation for next generation digital cockpit and infotainment systems.
Implement graphical user-interfaces and middleware.
Integrate APIs / SDKs that provide services and inputs required by the Unreal HMI
Participate in system design, documentation, and testing to deliver a best-in-class infotainment system.
Work in an agile team of software developers, test engineers, technical product managers and leads.
Be an active participant in an agile product development environment, including stand up meetings, regular sprint planning, demos and retrospectives.
Address issues, write unit tests and contribute to code reviews.

Skills required:
Unreal Engine 4
Unreal's UMG UI Designer
Material Editor
Blueprints
shader development
C++ to develop software, including ability to demonstrate advanced skills with:
multi-threaded software applications
inter-process communications
Validating code with unit-testing and mock frameworks
Experience in Agile methods to software development processes.

Wipro offers: Benefits above law, full payroll, constant training, and growth opportunity.

Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law."
UX UI Designer,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18294618,"Descripción
UX UI Designer en Zemsania
Zemsania, una empresa líder en soluciones tecnológicas, está en búsqueda de un UX UI Designer con al menos 5 años de experiencia.
Requisitos:
Experiencia como Diseñador Gráfico UX / UI
Dominio de Figma o Adobe XD
Conocimiento avanzado en Software de edición de video (Adobe Premiere Pro, Final Cut Pro) y Photoshop
Familiaridad con HTML, CSS y herramientas de diseño web
Experiencia en Diseño con Adobe After Effects
Nivel de Inglés Avanzado
Responsabilidades:
Diseñar y desarrollar la experiencia del usuario en plataformas digitales
Colaborar con otros equipos para garantizar la coherencia en la interfaz de usuario
Crear prototipos interactivos para pruebas de usuario
Optimizar la experiencia del usuario en diferentes dispositivos y plataformas
Habilidades clave:
Actitud proactiva y capacidad para trabajar en equipo
Excelentes habilidades de comunicación y presentación
Alto nivel de atención al detalle y capacidad analítica
Capacidad para adaptarse rápidamente a nuevos entornos y tecnologías
Beneficios:
Salario competitivo
Posibilidad de crecimiento profesional dentro de la empresa
Ambiente de trabajo dinámico y colaborativo
Oportunidad de trabajar en proyectos innovadores y de alto impacto
Si cumples con los requisitos y estás interesado en unirte a nuestro equipo como UX UI Designer en Zemsania, ¡no dudes en enviarnos tu CV y portafolio!
Nota: Solo se considerarán las solicitudes que incluyan muestras de trabajos anteriores relacionados con UXUI, Figma, HTML y CSS.

Zemsania es una empresa comprometida con la igualdad de oportunidades. Todos los aspirantes calificados recibirán consideración sin distinción de raza, color, religión, género, orientación sexual, identidad de género, nacionalidad, discapacidad o cualquier otro factor protegido por la ley."
UX/UI Designer,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18289049,"Descripción
¿Quiénes somos?

Somos una Start-up del sector Fintech que tiene como misión el poder satisfacer a través de nuestras plataformas digitales las diferentes necesidades financieras de nuestros clientes a través de nuestra Tarjeta de crédito.

¿Qué buscamos?

UX/UI Designer

Objetivo del puesto

Generar propuestas que permitan mejorar la experiencia del usuario tanto en aplicación como en página web para crear una interacción dinámica entre el cliente y el producto.

Funciones
-Adaptar las funciones del producto a las necesidades del usuario entendiéndolo e investigándolo
-Diseño web y de aplicaciones
-Creación de campanas orientadas a las necesidades del usuario
-Branding
-Planeación de proyectos en etapa de Discovery

Requisitos
-Licenciatura terminada
-Genero indistinto
-3-5 años de experiencia mínimo
-Disponibilidad de horario
-Ingles Intermedio-Avanzado (B2 ideal)

Experiencia
-En Apps user
-Testing Apps
-Diseño grafico
-Mejora de la app
-Design thinking
-Marcos agiles

Habilidades
-Creatividad
-Proactividad
-Gestión de proyectos
-Conocimiento de usuario
-Mentalidad analítica
-Conocimiento en diseño

Conocimientos:
-Diseño web
-Diseño de producto
-Preferible experiencia en el sector financiero

Jornada:
-De lunes a viernes 9:00 a 18:00 horas
-Fines de semana de descanso"
Sr UX/UI Designer,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18117201,"Descripción
SUMMARY:
AutoZone's Sr UI/UX Experience Designer produces a best-in-class, user-centered design by supporting key product team partners via competitive analysis and design research, product architecture and conceptual mockups, and delivering high-fidelity, production-ready comps.

RESPONSIBILITIES:
•Work collaboratively with product managers/owners, designers, and developers to prioritize the product team's design needs in a fast-paced Agile environment.
•Deliver user-centric Visual and Interaction Design
•Take ownership of projects, and design work, and maintain availability to help ensure proper understanding of the design before, during, and after handoff.
•Presenting design work back to business stakeholders and advice on experience design best practices.

SKILLS AND REQUIREMENTS:
•Advanced English (Bilingual)
•Level of formal education: Bachelor's Degree or equivalent experience in Design.
•User Experience, User Interface, or Interaction Design profession
•Experience with eCommerce
•Experience with UI/UX Design with a solid understanding of reusable patterns and Design Systems
•Strong portfolio.
•Strong understanding and experience with building designs for responsive and mobile environments
•Experience with Sketch, Figma, Zeplin, and Adobe CC."
Senior Product Designer UI/UX,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18230722,"Descripción
About 100 Ladrillos
100 Ladrillos, a leading force in the real estate investment sector, is revolutionizing the way individuals build wealth through real estate. With a mission to democratize property investment, our platform enables users to invest in fractional real estate, making property investment accessible to everyone. Learn more about us by visiting our website.

Our Design Team
Our design team lies at the heart of product development, from ideation to launch. We focus on delivering experiences that are not only valuable to our users but also easy to use, intuitive, and delightful. We're searching for Senior Product Designers ready to tackle complex problems, transform them into innovative solutions, and elevate the user experience for our investors.

Role Overview
This role is for those eager to influence the future of real estate investment. Based in our Guadalajara office, you'll be working in a hybrid environment, blending days in the office with the flexibility of working from home. You'll be tasked with:
Being a technical leader, setting high standards for design and best practices.
Building relationships across the company, influencing business decisions with a user-centered design approach.
Leading design projects within collaborative and cross-functional teams.
Inspiring other designers by setting a high-quality benchmark.
Advocating for our users at every opportunity and pushing the boundaries of UX/UI to innovate beyond the status quo.

What We're Looking For
6+ years of experience in Product Design (UX, UI, and Research) and digital product development.
Demonstrated ability to integrate human-centered research and design into projects.
A track record of approaching problems from various angles and collaborating within a cross-functional team.
Demonstrated leadership in mobile product design and collaboration at both team and organizational levels.
The capability to influence processes, team members, and stakeholders.
Adaptability to changing priorities and evolving team needs.
Proactive in promoting cross-functional collaboration in agile environments.
Experience designing products for LATAM markets.
Experience in designing and leading teams for digital FinTech products is highly advantageous.

Benefits at 100 Ladrillos
Competitive salary and law benefits
Accident insurance
Work equipment including a computer
Hybrid work model (3 days remote, 2 days in-office collaboration)
Office located in Guadalajara

Diversity & Inclusion
100 Ladrillos is dedicated to building a diverse and inclusive workplace, reflecting the diverse customers we serve. We hire based on equality and believe that different perspectives enrich our company.
?
Apply Now
If you're ready to shape the future of financial services, make a significant impact in the real estate investment sector, and have a minimum of 6 years of experience in mobile digital products, we'd love to see your resume and portfolio. Please include proof of experience in your portfolio."
UI/UX Designer - in transactional reporting and mobile point,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18257326,"Descripción
We are seeking a talented UI/UX Designer with expertise in transactional reporting and mobile point of sale systems. The ideal candidate will have a passion for creating seamless user experiences and visually appealing interfaces that drive user engagement and optimize business operations.
Qualifications:
- Bachelor's degree in UI/UX design, graphic design, human-computer interaction, or related field.
- Proven experience (3+ years) designing user interfaces for transactional reporting, visual KPI charts, product marketing, and mobile point of sale systems.
- Proficiency in design tools such as Sketch, Adobe XD, Figma, or similar software.
- Strong portfolio showcasing your UI/UX design projects, including transactional reporting dashboards, data visualization, and mobile point of sale interfaces.
- Solid understanding of UX principles, information architecture, and interaction design patterns.
- Experience with front-end development technologies (HTML, CSS, JavaScript) is a plus.
- Excellent communication skills and ability to collaborate effectively with cross-functional teams.
- Detail-oriented with a passion for creating visually stunning and user-centric designs.
Benefits:
- Competitive salary and benefits package
- Opportunities for professional growth and career advancement
- Flexible work environment with remote work options
- Dynamic and collaborative company culture focused on innovation and creativity"
Diseñador UX-UI,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18229962,"Descripción
RGP, a Global Consulting Group provides business solutions and professional talent.
We offer you the most interesting consulting projects!
We work with 85% of the Fortune 500 companies around the world.

Nos encontramos en búsqueda de un UX-UI Designer

Las principales responsabilidades son:



Diseñar soluciones que alineen sus necesidades con los objetivos de negocio.
Investigar, validar y diseñar soluciones.
Prototipar soluciones en baja y alta definición.
Alimentar el sistema de diseño.
Seguimiento de resultados.

Experiencia requerida


Al menos 3 años de experiencia con equipos de UX y UI
Conocer un proyecto E2E
Experiencia en la metodología de diseño centrado en el usuario, Design Thinking
Experiencia en metodologías de investigación con usuarios.
Manejo de Figma, InDesign y herramientas de prototipado
Capacidad de análisis y, de iteración y testeo
Manejo de Book en un caso E2E


Interesados favor de enviar su cv con su book al mail indicado en esta vacante"
UX UI,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18119026,"Descripción
Global HITSS,
la empresa de Grupo Carso que está desarrollando la Sociedad Digital, te invita a sumarte a nuestro equipo Líder en Tecnologías de la Información.

Nos encontramos en búsqueda de un:
UX/UI DESIGNER

EXPERIENCIA EN:

3+ años de experiencia profesional en UX UI Grandes habilidades de diseño, reflejadas en un book o portafolio
Experiencia diseñando para dispositivos Android y iOS Flexible y orientado a metas
Conocimiento en las diferentes etapas de diseño, desde la conceptualización hasta el delivery con desarrollo.
Conocimiento de Design Thinking Familiaridad con User research y Usability testing
Experiencia sólida en diseño responsivo.

Habilidad de trabajo en equipo y colaborativo Experiencia trabajando con herramientas de diseño: Sketch, Invision y Adobe Creative Suite Conocimientos de wire framing y prototipado 

MODALIDAD: HÍBRIDA

LUGAR DE TRABAJO: POLANCO, PLAZA CARSO


Ofrecemos: contrato 100% nómina + prestaciones superiores a las de la ley"
UX/UI Designer,https://www.occ.com.mx/empleos/de-user-interface-designer/en-Mexico/?page=1&jobid=18392058,"Descripción
At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant! We have an exciting opportunity for an exceptional individual to work supporting one of our clients as a UX/UI Designer What you'll do: - Supervises medium/large engagements of cross-functional teams, handling and reviewing project results, ensuring that the voice of the client is coordinated into the team's delivery approach - Manages and grows Digital reports including UX Designer and Visual Designer reports - Generates and evaluates design concepts, assists with primary research and collaborates on research plans, demonstrating sophisticated technical knowledge - May manage and grow direct reports by providing mentorship and advice and may take an active role in mentoring others within and across subject areas - Designs and facilitates team and client workshops, project phase and client goals Preferred experience: - 5+ years professional experience as UX/UI Designer - String Experience with Figma, Wireframes and UX Personas - Portfolio with Case studies (UX/UI) - Facilitating whiteboarding session with clients (nice to have examples in portfolio like pictures or prt scr) - Workshop facilitation (senior and above) - Advanced Level of English Why Cognizant? Improve your career in one of the largest and fastest growing IT services providers worldwide Receive ongoing support and funding with training and development plans Have a highly competitive benefits and salary package Get the opportunity to work for leading global companies We are committed to respecting human rights and build a better future by helping your minds and the environment We invest in people and their wellbeing. We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered. At Cognizant we believe than our culture make us stronger! Join us now! #BeCognizant #IntuitionEngineered Employee Status : Full Time Employee Shift : Day Job Travel : No Job Posting : Apr 12 2024 About Cognizant Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant."
