Job_Title,Job_Description,Job_Url
INTEGRADOR WEB (RELEASE MANAGER),https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18409272,"Descripción
Experiencia técnica:
Amplia experiencia en herramientas de repositorios. Amplia experiencia en GIT (Linea de comandos y CLI)
Conocimiento de Gitflow
Conocimiento de Github Flow
Conocimiento en estrategias de branching
Conocimiento en herramientas de Continuous Integration/Continuous delivery (Jenkins, Azure devops)
Conocimiento en el ciclo de vida de desarrollo de software (Conceptos, Diseño, Pruebas, Releases y Soporte)
Scripting (Python Script, Bash Script)

OFRECEMOS
Prestaciones de ley
Contratación con esquema nominal
Beneficios Superiores (Seguro de Gastos Médicos Mayores y Menores, Apoyo teletrabajo)
Modalidad híbrida (2 días HO 3 días en Plaza Carso)
Horario de Lunes a viernes 9:00 a 18:00hrs.
Atractivo sueldo acorde a experiencia
Plan de carrera para cada Consultor."
Desarrollador Java escritorio / web,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18380551,"Descripción
Desarrollador Java escritorio / web

Somos una Empresa Mexicana Líder en Tecnologías de la Información, con presencia internacional y más de 20 años en el mercado proporcionando servicios de TI en diferentes sectores: Bancario, Telecomunicaciones, Seguros, Industria, entre otros. Somos una empresa en constante crecimiento y estamos en la búsqueda de talento altamente competitivo.

* Desarrollador JAVA aplicaciones de escritorio / web
Mínimo 2 años de experiencia
• Conocimientos en ingeniería de software.
• Manejo de repositorios GIT
• Experiencia en programación orientada a objetos.
• Experiencia en implementación de patrones de diseño (Facade, DAO, Singleton, etc).
• Experiencia en PL/SQL.
• Experiencia en Java SE.
• Experiencia en Framework de desarrollo Swing Application.
• Experiencia en manejo de herramientas para la creación de reportes (JasperReport, JXLS, i-text, etc).
• Experiencia en el desarrollo de software bajo estándares y convenciones de codificación.
• Experiencia en el manejo de entornos de desarrollo integrado (Eclipse, NetBeans).
• Conocimiento en herramientas de control de versiones de código (Subversión, etc.)

OFRECEMOS:
Prestaciones superiores
Capacitaciones gratuitas
Bonos
Clases de ingles gratuitas
Apoyo para certificaciones
bonos por referidos

Envia cv actualizado al cincuenta y cinco 75 42 54 76 con Karla"
DESARROLLADOR JAVA WEB,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18363694,"Descripción
PRAXIS
Somos una Empresa Mexicana Líder en Tecnologías de la Información, con presencia internacional y más de 20 años en el mercado proporcionando servicios de TI en diferentes sectores: Bancario, Telecomunicaciones, Seguros, Industria, entre otros. Somos una empresa en constante crecimiento y estamos en la búsqueda de talento altamente competitivo.

Desarrollador JAVA WEB 2 AÑOS DE EXPERIENCIA



Recién graduado en Ingeniería en Sistemas, Ingeniería de Software o carreras afines.
- Experiencia comprobable en desarrollo web utilizando HTML, CSS, JavaScript.
- Noción de los frameworks modernos como React, Vue js o Angular +2. SPRING WEB
- Conocimientos en el desarrollo de back-end con PHP
- Familiaridad con sistemas de gestión de bases de datos (MySQL, MongoDB). - Noción sobre control de versiones con GitHub.
- Capacidad para trabajar de forma autónoma y en equipo, con un enfoque orientado a resultados. SKILS DESEABLES:
- Pasión por la tecnología y tendencias de desarrollo web.
- Excelentes habilidades de solución de problemas y pensamiento crítico.
- Compromiso con la calidad y la atención al detalle.

OFRECEMOS:
Prestaciones de ley
Capacitaciones gratuitas
Bonos
Clases de ingles gratuitas
Apoyo para certificaciones
Posición 100% nominal



Si te encuentras interesado envía tu CV al correo que aparece en la publicación. Para mayores informes escribir al WhatsApp cincuentay cinco6 03 749 71con ELIABETH

""En Praxis queda prohibido la solicitud de certificados médicos de no embarazo y virus de inmunodeficiencia humana (VIH) como requisito para ingreso, permanencia o ascenso""."
Marketing digital,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18396287,"Descripción
Ven a formar parte de nuestro quipo de trabajo
Contamos con la vacante para Marketing Digital

Conocimientos:
Mercadotecnia
Marketing Digital
Mercado Online
Google Analytis
Met insight
Web trends
Manejo de redes sociales
Monitorear y analizar los indicadores de las plataformas activas"
Desarrollador front end,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18395887,"Descripción
En Telasist estamos bucando:
Desarrollador Front End

OFRECEMOS:
Sueldo base de $15,000 mensuales.
Prestaciones de ley desde el 1er día.
Beneficios dentro de la empresa.

Actividades:
Desarrollo de páginas web.
Desarrollo de webapps.
Mantenimiento de páginas web y webapps.
Desarrollar métodos de integración con sistemas externos.

Horario y zona de trabajo:
Lunes a Viernes de 9am a 6:30pm/ SANTA FE (TOMAR EN CUENTA LA DISTANCIA, ES 100% PRESENCIAL)."
ESTIMADOR DE COSTOS - CUANTIFICADOR - PRECIOS UNITARIOS,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18404409,"Descripción
Bovis México es líder en gerenciamiento de proyecto y construcción con más de 20 años de experiencia en el país, conoce más en nuestra página web.

Sé parte de nuestro excelente equipo de trabajo, estamos en búsqueda de:

ESTIMADOR DE COSTOS

Escolaridad: Licenciatura en Arquitectura, Ing. Civil o afín.

Recién egresado.
1 año de experiencia.

Ofrecemos:

· Salario: $15,000 mensual (menos impuestos).
· Prestaciones de Ley.
· Contrato directo con la empresa (esquema de nómina, cotización al 100%).
· Estabilidad y crecimiento laboral.

Si es de tu interés y cubres con el perfil mencionado, por favor postúlate por este medio adjuntando tu CV actualizado."
Desarrollador back end,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18395893,"Descripción
En Telasist estamos buscando:

Desarrollador Backend

OFRECEMOS:
Sueldo base de $20,000 mensuales
Prestaciones de ley desde el 1er día.

Actividades:
Desarrollo de aplicativos web.
Desarrollo de API Rest.
Mantenimiento de bases de datos relacionados y no relacionados.
Creación de microservicios.

Horario y zona de trabajo: Lunes a Viernes de 9am a 6:30pm/SANTA FE (TOMAR EN CUENTA LA DISTANCIA, ES 100% PRESENCIAL)."
Desarrollador de aplicaciones web,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18379007,"Descripción
Desarrollador de aplicaciones web con conocimientos de Bases de Datos

Requisitos
desarrollo de aplicaciones web
Conocimiento de bases de datos
Responsabilidades
Crear nuevas aplicaciones web basadas en requisitos funcionales."
INGENIERO INDUSTRIAL-EXPERIENCIA EN AUDITORÍA,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18374210,"Descripción
Bovis México es líder en gerenciamiento de proyecto y construcción con más de 20 años de experiencia en el país, conoce más en nuestra página web.

Sé parte de nuestro excelente equipo de trabajo, estamos en búsqueda de:

INGENIERO INDUSTRIAL CON EXPERIENCIA EN AUDITORÍAS

REQUISITOS:
Ingeniería Industrial o Civil

INDISPENSABLE CONTAR CON:

· Experiencia en seguimiento de proyectos y procesos operativos.
· Experiencia en auditorías (indispensable).
· Elaboración y seguimiento de KPI´s.

ZONA DE TRABAJO: Paseo de la Reforma (a unos pasos de metro Chapultepec).

OFRECEMOS:

· Salario: $23,000 mensual (sueldo bruto).
· Prestaciones de Ley.
· Contrato directo con la empresa (esquema de nómina, cotización al 100%).
· Estabilidad Laboral.
· Esquema de trabajo híbrido (2 días home office).

Si es de tu interés y cubres con el perfil mencionado, por favor postúlate por este medio adjuntando tu CV actualizado."
INGENIERO ELECTROMECÁNICO-CDMX,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18385740,"Descripción
Bovis México es líder en gerenciamiento de proyecto y construcción con más de 20 años de experiencia en el país, conoce más en nuestra página web.


Sé parte de nuestro excelente equipo de trabajo, estamos en búsqueda de:


INGENIERO ELECTROMECÁNICO EN CDMX


Requisitos:

· Ingeniería Electromecánica o afín.


Indispensable contar con:

· Disponibilidad de horario.
· Experiencia como supervisor de mantenimiento y dirigiendo empresas contratistas.
· Experiencia en mantenimiento de PLANTAS DE EMERGENCIA Y AIRES ACONDICIONADOS.
· Capacidad de generar reportes en Excel.


Ofrecemos:

· Salario: $23,800 mensual (menos impuestos).
?· Vales de despensa.
· Prestaciones de Ley.
· Contrato directo con la empresa (esquema de nómina, cotización al 100%).
· Estabilidad y crecimiento laboral.


Si es de tu interés y cubres con el perfil mencionado, por favor postúlate por este medio adjuntando tu CV actualizado."
Home Office Fijo - Agente Bilingüe,https://www.occ.com.mx/empleos/de-web-and-digital-interface-designers/en-Mexico/?page=1&jobid=18386743,"Descripción
Si Hablas inglés (B2) ¡Trabaja desde casa! 

Obtén: Sueldo de $9,000 mensuales, Comisiones en dólares, Bono mensual, pago para luz e internet, compramos tu silla, capacitación pagada al 100% y te mandamos el equipo. (Muchos beneficios más). 

Requisitos: Inglés Avanzado (B2), Gusto por las ventas, 20 Megas, Disponibilidad completa, prepa
terminada, documentación (RFC, NSS, INE, ETC). 

¡Aplica ya! Puedes revisar nuestro aviso de privacidad en nuestro sitio web. "
