Job_Title,Job_Description,Job_Url
Web developer (onsite),https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18404133,"Descripción
Huawei Technologies of Mexico is looking for a Web Developer for Huawei Polanco office.

Responsibilities:
1. Be responsible for building IT platforms based on architecture, corporate standards and local business requirements.
2. Implement application projects, develop and implement requirements, support the deployment of projects at the local level and take care of the implementation and subsequent support of the systems.
3. Be responsible for O&M management of local IT applications and systems, optimize system performance and ensure safe operation.
4. Be responsible for internal services, user support and satisfaction.

Requirements:
1. Bachelor of Computer Science or related
2. Fluency in oral and written English.
3. +3 years of experience using tools like HTML, CSS or JavaScript to build high-performance web applications.
4. Experience in development frameworks like Vue. js and Angular. js
5. Knowledge of programming language such as Java and Python.
6. Familiarize with company's basic business processes, such as the sales process and the procurement process.
7. Active work attitude, positive thinking and good teamwork.

We offer:
Benefits above the law
Saving Fund
Food coupon
Major Medical Expenses Insurance

100% on site in Polanco, Plaza Carso, CDMX
If you are interested in the vacancy, apply with your CV in English"
Programador Web,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18378103,"Descripción
Estamos buscando un programador Web, que sea metódico y que codifique ordenadamente.
Con 5 años en las siguientes tecnologías:

NodeJs version 0.12.8 con conocimiento de cómo utilizar Callbacks
Express version 4.13.3 o similar
AngularJs version 1.3.8
MongoDB (Mongoose)

Si estas interesado o conoces a alguien envianos tu CV"
Programador web,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18400754,"Descripción
Empresa con más de 14 años de experiencia ejecutando proyectos de analítica, especializada en la vida y en el ciclo completo de vida de los datos desde su generación hasta su explotación. Se encuentra en búsqueda de: Programador web

Requisitos

Escolaridad:
Titulado, en trámite de titulación o cursando últimos semestres de las carreras Ingeniería en tecnologías de la información, ciencias de la Computación o a fin.

Experiencia: Mínima de 2 años como programador web o en puesto similar, conocimiento en lenguajes de programación web, HTML, CSS, Javascript y .net

Inglés:
intermedio (no es indispensable)

Disponibilidad: inmediata

Funciones:


Crear campos de búsqueda y botones de navegación de página.
Mantener la arquitectura y la funcionalidad del sitio web.
Diseño de elementos gráficos de la interfaz de usuario, como menús, pestañas y widgets.
Definir la interfaz gráfica del programa web que se vaya a diseñar
Hacer seguimiento a la web para identificar y corregir errores.


Ofrecemos Sueldo 100% nomina
Prestaciones de ley
Prestaciones superiores a la ley
Esquema Híbrido
Capacitación constante
Zona: Monterrey, Rincón de Santa María, a un lado del puente atirantado.

""No discriminamos por el color, raza, religión, genero, ideología, preferencia sexual, estado civil, nacionalidad, incapacidad, edad o cualquier forma ilegal"""
Desarrollador web,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18407655,"Descripción
Instrumart SA de CV es una empresa líder en el sector de ingeniería y tecnología, dedicada a proporcionar soluciones innovadoras a nuestros clientes. Nuestra cultura empresarial promueve la creatividad, el trabajo en equipo y el desarrollo profesional de nuestros colaboradores.

Requisitos del Puesto
Estamos buscando un Desarrollador Web para nuestra sede en Cuautitlán Izcalli, Estado de México. Se dará preferencia a solicitantes cercanos a la zona.
Conocimientos avanzados en WordPress, backend, SQL y Google Sheets.
Educación universitaria (opcional salvo experiencia).
Experiencia mínima de 1 año en un puesto similar.

Responsabilidades del Puesto

Como Desarrollador Web, serás responsable de:
Desarrollar, integrar y mantener páginas web utilizando WordPress.
Administrar software como servicio y bases de datos en Google Sheets y SQL.
Diseñar, analizar y desarrollar páginas web responsivas.
Realizar análisis de datos y presentar informes.
Desarrollar nuevos dashboards en Google Suite.

Prestaciones y Beneficios Adicionales

Ofrecemos:
Sueldo competitivo: $10,000 a $12,000 mensuales.
Todas las prestaciones de ley.
Una hora de comida y media hora de desayuno.
Cocina y áreas de recreación.
Oportunidades de crecimiento profesional.

Si cumples con los requisitos y te entusiasma unirte a un equipo dinámico y comprometido, ¡esperamos tu solicitud!"
DESARROLLADOR WEB,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18401163,"Descripción
En Sky México, llevar el mejor entretenimiento a todo México y parte de Centro América es nuestra misión, brindando un servicio de calidad con la mejor tecnología y apoyados siempre por el mejor talento humano.

¡Se parte de nuestro equipo! Postúlate a la vacante de ESPECIALISTA DESARROLLO WEB

Escolaridad: Licenciatura o Ingeniería en Sistemas Computacionales, Comunicaciones y Electrónica, Electrónica, Informática o afín (pasante/titulado)

Experiencia: 2 años mínimo como Arquitecto Web o Desarrollador Web.

Principales funciones:

Desarrollar aplicaciones e integrar nuevas tecnologías a la plataforma.
Garantizar la integridad y continuidad de los sistemas de información requeridos para la plataforma de televisión Interactiva.
Desarrollar aplicaciones para usuarios internos que ayuden y contribuyan a la eficiencia de los procesos de operación de la empresa.
Dar mantenimiento a las aplicaciones existentes desarrolladas para usuarios internos para garantizar su correcto funcionamiento.
Dar mantenimiento a las bases de datos que proveen de contenido a las aplicaciones interactivas y las aplicaciones de uso interno.

Conocimientos específicos:

Lenguajes: JAVA, PERL, HTML, JAVA SCRIPT, Node, Python
Programación, análisis y desarrollo de sistemas
Manejo de sistema operativo LINUX
Análisis y diseño de base de datos

Lugar de trabajo: Benito Juárez (Cerca de WTC)

Horario: Lunes a Viernes de 9 am a 7 pm

Ofrecemos:

Sueldo de $22,000 brutos mensuales (antes de impuestos)
Contrato directo, prestaciones de ley y superiores (fondo de ahorro 6%, seguro de gastos médicos mayores, seguro de vida, vales de despensa, vales de restaurante, 30 días de aguinaldo, entre otras)
Cotización al 100% sobre nómina
Aprendizaje constante

Interesados (as) y que cubran al 100% el perfil de la vacante, favor de postularse a través de este medio con cv actualizado."
Programador web,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18405818,"Descripción
Competencias técnicas:
-Ingeniero en Sistemas computacionales-Habilidad en desarrollo
backend en MS SQL (Nivel Alto Indispensable- mínimo 2 años de experiencia)
-Conocimiento/experiencia fuerte en C# (3 años), con conocimiento ligero en VB.-Web API .Net Core, Web Services, MVC (3 años)
-HTML5
-Javascript, JQuery
-ASP MVC con Webforms
-Experiencia en uno de los tres: VueJS, Angular, React (1 año mínimo)

Competencias personales:
-Comunicación efectiva.
-Capacidad de análisis.
-Responsable y fuerte ética de trabajo."
Programador web,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18375178,"Descripción
Requerimientos generales:  
Escolaridad mínima: Licenciatura (Titulado)
Carreras: Lic. En Informática, Ingeniería en Sistemas computacionales y programación, o afín
Modalidad: Presencial en Oficina
Idiomas: Inglés 80% (lectura)

Experiencia obligatoria en las siguientes áreas:  
Mínimo 5 años desarrollando Sistemas como herramientas para dar soluciones a necesidades especificas 
Trabajo colaborativo con equipos de desarrollo  

Conocimientos de lenguajes y manejo de base de datos datos:
PHP 
HTML 
JavaScript 
CSS 
Angular 
SQL 
GIT 
ORM Doctrine (PHP) 
REST APIs 
GraphQL   

Habilidades específicas deseables:  
Alto nivel de organización y planeación 
Capacidad de análisis 
Comunicación efectiva 
Solución de problemas 
Adaptación y entusiasmo 
Alta proactividad 
Creatividad

Características personales:
Comunicación asertiva 
Dinámico y activo 
Toma de decisiones acertadas y oportunas 
Analítico 
Alto empuje e iniciativa 
Trabajo en equipo  

Ofrecemos:?
Salario mensual: $17,000 - $20,000 según aptitudes  

INTERESADOS ENVIAR SU CV AL CORREO INDICADO EN LA INFORMACIÓN DE CONTACTO DE LA EMPRESA."
Web application developer,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18404450,"Descripción
Somos una empresa líder de gestión de capital humano y servicios tecnológicos con más de 15 años en el mercado nacional y Centro América, ofreciendo un valor agregado y solución a los procesos de consultoría de TI, atracción de talento, pruebas de Software y centro de desarrollo.
Teniendo siempre la satisfacción de nuestros clientes y el desempeño profesional de nuestros colaboradores.
En Getecsa estamos comprometidos a brindar la mejor experiencia, a seguir innovando y
dirigirnos con honestidad, respeto y compromiso.
¡La oportunidad de crecer está en tu manos... únete a nuestro equipo de trabajo!

Web Applications Developer

Requirements and Experience:
3 years of experience as a Web applications development
Database knowledge
Advanced Enlgish Level
This is a on site vacancy
Graduated form Systems Engineer or related field

Responsibilities:
Create new web applications based in functional requirements.

Soft Skills:
Oral and written comunications habilities.
Ability to work as a team, conflict management.
Assertive, goal-oriented and highly proactive.
Ability to deliver results, meeting deadlines.

Está es una vacante presencial
Horario de Lunes a Viernes 8:30 am a 6:00 pm
Contrato inicial de 3 meses con posibilidad de extenderse en base a desempeño."
Desarrollador Web Sr,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18400175,"Descripción
Ingeniero en Software, sistemas Computacionales o afín (Titulado)
Preferentemente experiencia en GeneXus 
4 años de experiencia en puesto similar
Experiencia implementando servicios web y en procesos comerciales básicos de una empresa
Conocimientos avanzados de desarrollo en ambientes web
Conocimientos avanzados de SQL Server o MYSQL
Experiencia en diseño y ejecución de pruebas unitarias
Disponibilidad para residir en la región Guaymas/Empalme, Sonora"
Desarrollador web jr,https://www.occ.com.mx/empleos/de-web-developer/en-Mexico/?page=1&jobid=18359713,"Descripción
Título del Puesto: Especialista en Creación y Gestión de Funnels
Ubicación: Calle Colima 130, Zapopan, Jalisco
Tipo de Empleo: Tiempo completo
Descripción de la Empresa:
Sinertegia Academy es una institución educativa innovadora enfocada en proporcionar formación de vanguardia en marketing digital, negocios y desarrollo personal. Nuestra misión es empoderar a los profesionales a través del conocimiento y las habilidades necesarias para triunfar en un mundo digitalmente conectado. Valoramos la creatividad, el compromiso y la excelencia en todo lo que hacemos.
Principales Funciones:
Planificar la estructura para cada funnel.
Crear funnels eficientes y adaptados a las necesidades del negocio.
Desarrollar secuencias de email marketing y WhatsApp para maximizar el engagement.
Realizar integraciones entre distintas plataformas digitales.
Supervisar el funcionamiento correcto de cada proceso del funnel.
Analizar métricas para identificar áreas de mejora y buscar optimizaciones.
Requisitos:
Experiencia Laboral: Mínimo 1 año de experiencia en creación y gestión de funnels.
Áreas de Conocimiento:
Profundo conocimiento en la creación y gestión de funnels.
Habilidad en email marketing y técnicas de copywriting.
Educación: Licenciatura en [campo relevante, si es específico].
Idiomas: Inglés a nivel medio.
Habilidades Informáticas:
Manejo de Microsoft Excel.
Conocimientos Técnicos Especiales:
Experiencia en plataformas como Kajabi, Funnelchat, Builderall, Hyros, entre otras."
